Iteration 00260    Loss 0.004349   PSNR_LR 23.616   PSNR_HR 20.562
Iteration 00261    Loss 0.004521   PSNR_LR 23.448   PSNR_HR 20.513
Iteration 00262    Loss 0.004328   PSNR_LR 23.637   PSNR_HR 20.609
Iteration 00263    Loss 0.004156   PSNR_LR 23.814   PSNR_HR 20.647
Iteration 00264    Loss 0.004352   PSNR_LR 23.613   PSNR_HR 20.566
Iteration 00265    Loss 0.004379   PSNR_LR 23.586   PSNR_HR 20.541
Iteration 00266    Loss 0.004244   PSNR_LR 23.722   PSNR_HR 20.647
Iteration 00267    Loss 0.004337   PSNR_LR 23.628   PSNR_HR 20.547
Iteration 00268    Loss 0.004175   PSNR_LR 23.793   PSNR_HR 20.631
Iteration 00269    Loss 0.004393   PSNR_LR 23.572   PSNR_HR 20.527
Iteration 00270    Loss 0.004331   PSNR_LR 23.634   PSNR_HR 20.557
Iteration 00271    Loss 0.004333   PSNR_LR 23.632   PSNR_HR 20.546
Iteration 00272    Loss 0.004383   PSNR_LR 23.582   PSNR_HR 20.514
Iteration 00273    Loss 0.004083   PSNR_LR 23.890   PSNR_HR 20.724
Iteration 00274    Loss 0.004299   PSNR_LR 23.666   PSNR_HR 20.616
Iteration 00275    Loss 0.004259   PSNR_LR 23.707   PSNR_HR 20.620
Iteration 00276    Loss 0.004100   PSNR_LR 23.872   PSNR_HR 20.709
Iteration 00277    Loss 0.004122   PSNR_LR 23.849   PSNR_HR 20.739
Iteration 00278    Loss 0.004076   PSNR_LR 23.898   PSNR_HR 20.764
Iteration 00279    Loss 0.003939   PSNR_LR 24.047   PSNR_HR 20.833
Iteration 00280    Loss 0.004166   PSNR_LR 23.803   PSNR_HR 20.642
Iteration 00281    Loss 0.003972   PSNR_LR 24.010   PSNR_HR 20.772
Iteration 00282    Loss 0.004178   PSNR_LR 23.791   PSNR_HR 20.669
Iteration 00283    Loss 0.004042   PSNR_LR 23.934   PSNR_HR 20.690
Iteration 00284    Loss 0.003919   PSNR_LR 24.068   PSNR_HR 20.791
Iteration 00285    Loss 0.004059   PSNR_LR 23.915   PSNR_HR 20.703
Iteration 00286    Loss 0.003946   PSNR_LR 24.038   PSNR_HR 20.833
Iteration 00287    Loss 0.003984   PSNR_LR 23.997   PSNR_HR 20.798
Iteration 00288    Loss 0.003913   PSNR_LR 24.075   PSNR_HR 20.827
Iteration 00289    Loss 0.003858   PSNR_LR 24.136   PSNR_HR 20.875
Iteration 00290    Loss 0.003909   PSNR_LR 24.080   PSNR_HR 20.862
Iteration 00291    Loss 0.003843   PSNR_LR 24.153   PSNR_HR 20.871
Iteration 00292    Loss 0.003836   PSNR_LR 24.162   PSNR_HR 20.831
Iteration 00293    Loss 0.003837   PSNR_LR 24.160   PSNR_HR 20.852
Iteration 00294    Loss 0.003959   PSNR_LR 24.024   PSNR_HR 20.768
Iteration 00295    Loss 0.003801   PSNR_LR 24.201   PSNR_HR 20.888
Iteration 00296    Loss 0.003803   PSNR_LR 24.199   PSNR_HR 20.919
Iteration 00297    Loss 0.003754   PSNR_LR 24.255   PSNR_HR 20.961
Iteration 00298    Loss 0.003817   PSNR_LR 24.183   PSNR_HR 20.885
Iteration 00299    Loss 0.003768   PSNR_LR 24.238   PSNR_HR 20.923
Iteration 00300    Loss 0.003745   PSNR_LR 24.266   PSNR_HR 20.935
Iteration 00301    Loss 0.003537   PSNR_LR 24.514   PSNR_HR 21.051
Iteration 00302    Loss 0.003827   PSNR_LR 24.172   PSNR_HR 20.880
Iteration 00303    Loss 0.003891   PSNR_LR 24.099   PSNR_HR 20.836
Iteration 00304    Loss 0.003774   PSNR_LR 24.232   PSNR_HR 20.905
Iteration 00305    Loss 0.003650   PSNR_LR 24.378   PSNR_HR 21.047
Iteration 00306    Loss 0.003717   PSNR_LR 24.298   PSNR_HR 20.944
Iteration 00307    Loss 0.003694   PSNR_LR 24.325   PSNR_HR 20.947
Iteration 00308    Loss 0.003699   PSNR_LR 24.319   PSNR_HR 20.947
Iteration 00309    Loss 0.003700   PSNR_LR 24.318   PSNR_HR 20.961
Iteration 00310    Loss 0.003604   PSNR_LR 24.433   PSNR_HR 21.071
Iteration 00311    Loss 0.003780   PSNR_LR 24.225   PSNR_HR 20.882
Iteration 00312    Loss 0.003682   PSNR_LR 24.340   PSNR_HR 20.974
Iteration 00313    Loss 0.003525   PSNR_LR 24.528   PSNR_HR 21.081
Iteration 00314    Loss 0.003771   PSNR_LR 24.235   PSNR_HR 20.912
Iteration 00315    Loss 0.003550   PSNR_LR 24.498   PSNR_HR 21.082
Iteration 00316    Loss 0.003621   PSNR_LR 24.412   PSNR_HR 21.047
Iteration 00317    Loss 0.003689   PSNR_LR 24.331   PSNR_HR 20.997
Iteration 00318    Loss 0.003509   PSNR_LR 24.548   PSNR_HR 21.079
Iteration 00319    Loss 0.003584   PSNR_LR 24.456   PSNR_HR 21.045
Iteration 00320    Loss 0.003578   PSNR_LR 24.464   PSNR_HR 21.090
Iteration 00321    Loss 0.003455   PSNR_LR 24.615   PSNR_HR 21.143
Iteration 00322    Loss 0.003584   PSNR_LR 24.456   PSNR_HR 21.039
Iteration 00323    Loss 0.003463   PSNR_LR 24.606   PSNR_HR 21.135
Iteration 00324    Loss 0.003609   PSNR_LR 24.426   PSNR_HR 21.052
Iteration 00325    Loss 0.003562   PSNR_LR 24.483   PSNR_HR 20.996
Iteration 00326    Loss 0.003368   PSNR_LR 24.726   PSNR_HR 21.130
Iteration 00327    Loss 0.003525   PSNR_LR 24.528   PSNR_HR 21.120
Iteration 00328    Loss 0.003486   PSNR_LR 24.576   PSNR_HR 21.132
Iteration 00329    Loss 0.003462   PSNR_LR 24.607   PSNR_HR 21.134
Iteration 00330    Loss 0.003401   PSNR_LR 24.684   PSNR_HR 21.195
Iteration 00331    Loss 0.003423   PSNR_LR 24.656   PSNR_HR 21.139
Iteration 00332    Loss 0.003430   PSNR_LR 24.647   PSNR_HR 21.166
Iteration 00333    Loss 0.003441   PSNR_LR 24.633   PSNR_HR 21.144
Iteration 00334    Loss 0.003443   PSNR_LR 24.631   PSNR_HR 21.128
Iteration 00335    Loss 0.003291   PSNR_LR 24.827   PSNR_HR 21.256
Iteration 00336    Loss 0.003523   PSNR_LR 24.531   PSNR_HR 21.100
Iteration 00337    Loss 0.003381   PSNR_LR 24.710   PSNR_HR 21.155
Iteration 00338    Loss 0.003376   PSNR_LR 24.715   PSNR_HR 21.178
Iteration 00339    Loss 0.003425   PSNR_LR 24.653   PSNR_HR 21.186
Iteration 00340    Loss 0.003286   PSNR_LR 24.834   PSNR_HR 21.296
